C02eq_Kg (X);CO2eq_kg (Y)
216,4003523;37994,25188
18,2852832;42365,38774
21,28623175;62416,05411
21,75716608;63796,94026
23,77406415;69710,94234
23,77406415;69710,94234
24,36841575;71453,7159
28,2920802;86058,14867
28,2920802;86058,14867
28,2920802;86058,14867
41,58603041;87723,24473
29,32088312;89187,53589
29,32088312;89187,53589
29,93173485;91045,60956
30,42041623;92532,06849
32,77165956;99684,02221
44,07377078;102115,038
49,19390911;113977,9467
50,07568672;116020,9476
39,09451082;118916,7145
55,96967394;129676,796
27,07698944;137142,5348
27,28571429;138199,7075
48,86813853;148645,8932
34,14933596;172963,3387
36,6651742;185705,8348
37,19809827;188405,0477
1076,4052;188988,6494
1113,715606;195539,3825
1201,395059;210933,6053
42,24365298;213960,332
56,00216673;283645,9761
25,07320613;4868,846375
33,82585666;6669,451356
1,215967975;6979,938499
1,676311809;9622,418986
2,828853531;10507,11981
2,101368729;12062,3444
2,156830073;12380,70539
3,833230785;12490,41732
2,700903756;12767,84736
3,912903241;14533,57083
74,03618546;14597,73044
2,642758753;15170,04884
74,55202026;16968,69285
76,62418025;17440,33461
3,716427236;17568,48076
94,45996077;18624,69057
81,94919642;18652,35494
95,73644672;18876,37558
99,85694339;19688,81478
4,617453995;20268,72671
6,280762523;20465,59401
4,481622056;21185,748
4,519879755;21366,60171
4,57295874;21617,51934
4,707697703;22254,46411
6,07067838;22548,12572
11,15652557;22905,93986
4,90221177;23173,98074
4,145619364;23796,81768
4,182306261;24007,40898
6,224370875;25220,70635
5,412137499;25584,52715
5,640662947;26664,82408
117,5449678;26754,2643
7,224029615;29271,25218
6,530675041;30872,13379
136,4616673;31059,87083
158,0289614;31158,60395
159,5607445;31460,62596
5,685521452;32636,21319
6,980458197;32998,37122
159,7935053;33156,26869
7,420123682;35076,7799
7,421912035;35085,23389
170,4154971;35360,27325
7,646068674;36144,87837
6,348220941;36440,26213
6,398644792;36729,70674
6,410333735;36796,80398
6,420604354;36855,75972
6,597161192;37869,23697
6,992274366;40137,27832
7,336156712;42111,24283
8,911308365;42125,98274
7,36275028;42263,89608
9,703369188;42593,80569
171,1790105;42961,20478
190,6665205;43397,37021
10,02600162;44010,02958
10,39183446;45615,88548
7,958262801;45682,27622
8,069772383;46322,36711
8,071606422;46332,89492
9,842967048;46530,16627
0,728491255;46736,74701
239,6283262;47247,56807
232,5737496;48257,76691
10,28870804;48637,29537
8,608979901;49417,54346
255,1657132;50311,07798
258,5649953;50981,31515
8,917098483;51186,21566
10,98837072;51944,77583
0,810624998;52006,08136
266,3387948;52514,07685
11,32174758;53520,7316
9,47638873;54396,67153
11,55129378;54605,85386
9,843288268;56502,76007
9,887231847;56755,00641
0,905892562;58118,023
10,1255469;58122,99013
12,53290387;59246,17019
302,68035;59679,54902
305,4362831;60222,93695
12,75451272;60293,77062
12,96964593;61310,7591
311,5493744;61428,25645
13,09417739;61899,45047
14,16841568;62193,52605
13,21789226;62484,28158
10,96076834;62917,35513
279,6866658;63659,13505
13,53269147;63972,41617
13,5388568;64001,56121
15,3533018;67394,68949
15,65575942;68722,35426
15,73991249;69091,75165
12,10062369;69460,38948
12,3306122;70780,57695
377,6585821;74463,023
13,20508208;75800,23709
13,36109768;76695,80286
14,01174142;80430,64898
14,14961226;81222,05961
17,34090452;81974,79143
14,58895634;83743,99666
17,89578407;84597,84578
17,90088782;84621,97248
14,93031994;85703,50298
452,5806488;89235,42284
20,43768195;89713,03027
15,79719079;90679,54289
23,71422388;96088,34189
16,87316044;96855,85851
16,97586663;97445,41591
17,84687629;102445,2136
25,41619725;102984,6165
25,79917646;104536,4209
18,22340453;104606,5731
1,652727967;106031,6488
18,4816128;106088,7485
24,9506765;109523,2229
24,97125699;109613,5628
19,18825586;110145,0438
25,11401568;110240,2148
19,55917195;112274,1882
19,75142816;113377,7835
1,77019343;113567,7086
19,94456471;114486,4322
20,31430701;116608,8388
20,38137171;116993,8058
27,05123568;118743,815
20,85192503;119694,8911
21,01772217;120646,6051
27,5221639;120810,9966
21,31520333;122354,216
614,1833165;127439,6418
22,56296131;129516,6366
23,18616783;133093,9867
23,77892929;136496,5751
31,16552561;136803,8582
23,85770738;136948,7797
31,86879305;139890,9134
33,51589056;147120,995
33,80321708;148382,2405
34,98607476;153574,4999
35,62059435;156359,7803
36,01202945;158078,0196
796,3214517;165232,2976
30,08196562;172677,4671
39,79990418;174705,2341
41,41005109;181773,1177
41,69123745;183007,4104
31,94015909;183343,929
32,41224078;186053,7875
43,020198;188841,0014
33,06562335;189804,3552
43,28811724;190017,0568
43,669136;191689,5727
34,99268499;200866,1364
35,71508857;205012,9007
47,40048838;208068,6772
47,5714589;208819,1676
47,92277464;210361,2995
48,29464896;211993,675
37,66270368;216192,6636
39,68550828;227804,0317
39,90242621;229049,191
52,52269629;230553,0664
42,53809335;244178,5323
55,69068913;244459,2539
55,91272165;245433,8854
57,73059231;253413,5911
58,89289142;258515,6068
59,27037959;260172,6249
60,10140618;263820,4903
60,33799964;264859,0384
62,25122917;273257,3303
68,54966119;300904,8602
74,40556322;326609,8652
78,0109327;342435,9565
87,15943989;382594,1459
90,63546035;397852,4482
92,01816922;403921,9723
92,57856833;406381,8942
93,85067759;411965,9314
94,63760468;415420,2182
96,82415897;425018,2935
98,27652574;431393,5872
98,75512917;433494,4597
100,5159293;441223,6489