SpendEUR;Total CO2eq kg
8722,306104;38210,65223
9725,783817;42383,67302
14328,7972;62437,34034
14645,80598;63818,69743
16003,4781;69734,7164
16003,4781;69734,7164
16403,56505;71478,08431
19756,2915;86086,44075
19756,2915;86086,44075
19756,2915;86086,44075
20138,5461;87764,83076
20474,7021;89216,85678
20474,7021;89216,85678
20901,25839;91075,54129
21242,50343;92562,48891
22884,37099;99716,79387
23442,45709;102159,1118
26165,81433;114027,1406
26634,82421;116071,0233
27299,6028;118955,809
29769,78498;129732,7656
31483,6879;137169,6118
31726,3821;138226,9933
34124,5035;148694,7613
39707,03752;172997,488
42632,32085;185742,5
43251,97671;188442,2458
43385,95364;190065,0546
44889,79952;196653,0981
48423,83734;212135,0003
49118,68025;214002,5756
65116,35066;283701,9782
1117,736667;4893,919581
1531,099927;6703,277213
1602,37818;6981,154467
2209,01004;9624,095298
2412,110009;10509,94866
2769,141514;12064,44577
2842,22736;12382,86222
2867,413828;12494,25055
2931,103193;12770,54827
3336,458735;14537,48373
3351,1878;14671,76663
3482,574417;15172,6916
3895,487499;17043,24487
4003,761873;17516,95879
4033,180269;17572,19719
4275,6534;18719,15053
4282,004285;18734,30414
4333,4325;18972,11202
4519,943435;19788,67172
4653,073294;20273,34417
4698,267941;20471,87477
4863,593042;21190,22962
4905,111465;21371,12159
4962,7144;21622,0923
5108,937235;22259,17181
5176,352866;22554,1964
5258,495934;22917,09638
5320,029837;23178,88295
5463,013951;23800,96329
5511,359207;24011,59129
5789,894788;25226,93072
5873,416802;25589,93929
6121,419593;26670,46475
6141,952302;26871,80926
6719,774939;29278,47621
7087,287883;30878,66446
7130,386506;31196,33249
7153,05258;31316,63291
7222,3875;31620,1867
7492,266;32641,89871
7575,406292;33005,35168
7611,654671;33316,0622
8052,544695;35084,20002
8054,485471;35092,6558
8117,626008;35530,68875
8297,747097;36152,52444
8365,55808;36446,61035
8432,005618;36736,10538
8447,409072;36803,21432
8460,943488;36862,18033
8693,606544;37875,83413
9214,27875;40144,2706
9667,44;42118,57899
9670,823827;42134,89404
9702,48447;42271,25883
9778,221521;42603,50906
9862,564998;43132,38379
9962,695102;43588,03673
10103,34276;44020,05558
10471,99765;45626,27732
10487,23891;45690,23448
10634,184;46330,43688
10636,60086;46340,96653
10681,88827;46540,00924
10729,31282;46737,4755
10846,58155;47487,19639
11078,49199;48490,34066
11165,61999;48647,58408
11344,74084;49426,15244
11549,86875;50566,24369
11703,7345;51239,88015
11750,77332;51195,13276
11924,91529;51955,7642
11938,98915;52006,89199
12055,60922;52780,41565
12286,70604;53532,05334
12487,79478;54406,14792
12535,81657;54617,40515
12971,28762;56512,60335
13029,19559;56764,89364
13342,10207;58118,92889
13343,24237;58133,11568
13601,08981;59258,7031
13700,58019;59982,22937
13825,32527;60528,37323
13841,58649;60306,52513
14075,05562;61323,72875
14102,02938;61739,80583
14210,20097;61912,54465
14277,71163;62207,69447
14344,46011;62497,49947
14443,88042;62928,3159
14614,17017;63938,82172
14686,08983;63985,94886
14692,78063;64015,10007
15471,73803;67410,04279
15776,52883;68738,01002
15861,33105;69107,49157
15945,95891;69472,49011
16249,03315;70792,90756
17094,40897;74840,68158
17401,392;75813,44217
17606,98622;76709,16395
18464,39148;80444,66073
18646,0749;81236,20922
18818,87887;81992,13233
19225,03371;83758,58562
19421,05109;84615,74157
19426,58983;84639,87337
19674,87581;85718,4333
20485,69546;89688,00349
20595,33937;89733,46796
20817,2208;90695,34008
22058,9139;96112,05611
22235,112;96872,73167
22370,45616;97462,39177
23518,2552;102463,0605
23642,08544;103010,0327
23998,33177;104562,2201
24014,43656;104624,7965
24341,58989;106033,3015
24354,69822;106107,2301
25143,14741;109548,1736
25163,88667;109638,5341
25285,89827;110164,232
25307,7466;110265,3289
25774,68403;112293,7474
26028,03541;113397,5349
26071,63633;113569,4788
26282,54688;114506,3767
26769,78586;116629,1531
26858,16237;117014,1871
27259,91042;118770,8663
27478,24808;119715,743
27696,73223;120667,6229
27734,47142;120838,5187
28088,74692;122375,5312
29256,20351;128053,8251
29733,01734;129539,1996
30554,26637;133117,1728
31335,39552;136520,354
31405,93822;136835,0237
31439,20771;136972,6374
32114,6307;139922,7822
33774,43402;147154,5109
34063,97699;148416,0437
35255,9593;153609,4859
35895,37361;156395,4009
36289,82826;158114,0317
37932,2294;166028,6191
39641,41023;172707,549
40106,92287;174745,034
41729,49054;181814,5278
42012,84599;183049,1016
42090,10027;183375,8692
42712,20004;186086,1997
43352,05822;188884,0216
43573,21447;189837,4208
43622,0442;190060,345
44006,00216;191733,2419
46112,65761;200901,1291
47064,62654;205048,6158
47766,1384;208116,0777
47938,4278;208866,7391
48292,45361;210409,2222
48667,19658;212041,9696
49631,15462;216230,3263
52296,76591;227843,7172
52582,616;229089,0934
52927,85931;230605,5891
56055,84522;244221,0704
56120,29022;244514,9446
56344,03551;245489,7981
58175,92933;253471,3217
59347,19448;258574,4997
59727,59462;260231,8952
60565,03179;263880,5917
60803,45035;264919,3764
62731,43863;273319,5815
69078,45711;300973,4099
74979,5319;326684,2707
78612,7134;342513,9675
87831,79269;382681,3054
91334,62737;397943,0837
92728,00253;404013,9904
93292,72459;406474,4728
94574,64697;412059,7821
95367,64446;415514,8558
97571,06596;425115,1177
99034,63637;431491,8637
99516,93176;433593,2148
101291,3148;441324,1648